City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,camiri,-20.05,-63.5167,35.38,69,82,0.0,BO,1723462165
323,klaksvik,62.2266,-6.589,53.65,89,100,36.48,FO,1723462166
324,marondera,-18.1853,31.5519,81.77,6,0,11.88,ZW,1723462167
325,morant bay,17.8815,-76.4093,80.73,86,12,11.3,JM,1723462169
326,basco,20.4487,121.9702,84.78,84,100,17.09,PH,1723462170
327,lamu,-2.2717,40.902,80.02,68,11,14.81,KE,1723462171
328,shimoda,34.6667,138.95,81.3,88,4,6.58,JP,1723462172
329,lib,8.3122,167.3766,83.64,75,96,11.77,MH,1723462173
330,remontnoye,46.5614,43.6501,86.5,21,30,20.83,RU,1723462174
331,nemuro,43.3236,145.575,63.93,100,69,4.5,JP,1723462176
332,machico,32.7,-16.7667,83.71,61,20,19.57,PT,1723462177
333,mogadishu,2.0371,45.3438,84.07,70,20,17.27,SO,1723462069
334,lakatoro,-16.0999,167.4164,75.74,79,99,20.24,VU,1723462179
335,la'ie,21.6477,-157.9253,78.12,83,95,5.99,US,1723462180
336,villa yapacani,-17.4,-63.8333,56.32,44,59,5.35,BO,1723462181
337,enewetak,11.3474,162.3373,83.75,77,88,15.48,MH,1723462182
338,ducheng,23.2373,111.5317,80.55,90,100,1.16,CN,1723462183
339,nykarleby,63.5228,22.5307,65.28,68,63,8.08,FI,1723462184
340,khandud,36.9513,72.318,79.39,16,0,7.34,AF,1723462185
341,harnosand,62.6323,17.9379,67.66,59,97,18.03,SE,1723462186
342,longjiang,47.3303,123.1836,72.21,72,100,4.88,CN,1723462187
343,savelugu,9.6244,-0.8253,83.71,66,95,10.47,GH,1723462188
344,argo,37.6333,22.7333,95.04,24,0,19.51,GR,1723462190
345,tambopata,-12.7333,-69.1833,64.29,72,0,1.14,PE,1723462191
346,sumusta as sultani,28.9167,30.85,101.19,14,4,13.06,EG,1723462192
347,dourdan,48.5277,2.0111,93.22,44,14,10.83,FR,1723462194
348,mongu,-15.2484,23.1274,92.32,7,0,11.32,ZM,1723462195
349,taulaga,-11.0553,-171.0883,81.14,79,41,19.26,AS,1723462196
